company name,gvkey,NAICS,SIC,ticker,industry sector,weburl,ff5 sector
AAR CORP,1004,423860,5080,AIR,Whlsl,aarcorp.com,1
AMERICAN AIRLINES GROUP INC,1045,481111,4512,AAL,Trans,aa.com,5
CECO ENVIRONMENTAL CORP,1050,333413,3564,CECE,Mach,cecoenviro.com,2
AVX CORP,1072,334416,3670,AVX,Chips,avx.com,3
PINNACLE WEST CAPITAL CORP,1075,2211,4911,PNW,Util,pinnaclewest.com,2
AARON'S INC,1076,532299,7359,AAN,BusSv,aarons.com,5
ABBOTT LABORATORIES,1078,325412,2834,ABT,Drugs,abbott.com,4
ACETO CORP,1094,424690,5160,ACET,Whlsl,aceto.com,1
ACME UNITED CORP,1104,332215,3420,ACU,BldMt,acmeunited.com,2
ADAMS RESOURCES & ENERGY INC,1121,424720,5172,AE,Whlsl,adamsresources.com,1
ADVANCED MICRO DEVICES,1161,334413,3674,AMD,Chips,amd.com,3
AETNA INC,1177,524114,6324,AET,Insur,aetna.com,5
AIR PRODUCTS & CHEMICALS INC,1209,325120,2810,APD,Chems,airproducts.com,2
AIR T INC,1210,492110,4513,AIRT,Trans,airt.net,5
ALASKA AIR GROUP INC,1230,481111,4512,ALK,Trans,alaskaair.com,5
ATRION CORP,1234,339112,3841,ATRI,MedEq,atrioncorp.com,4
MATSON INC,1254,483113,4400,MATX,Trans,matson.com,5
ALEXANDER'S INC,1257,531120,6798,ALX,Fin,alx-inc.com,5
ALICO INC,1266,111310,100,ALCO,Agric,alicoinc.com,1
ALLEGHANY CORP,1274,524126,6331,Y,Insur,alleghany.com,5
HONEYWELL INTERNATIONAL INC,1300,336413,9997,HON,Other,honeywell.com,5
SKYWORKS SOLUTIONS INC,1327,334413,3674,SWKS,Chips,skyworksinc.com,3
HESS CORP,1380,211111,1311,HES,Oil,hess.com,2
AMERCO,1393,532120,7510,UHAL,BusSv,amerco.com,5
ABM INDUSTRIES INC,1410,561720,7340,ABM,BusSv,abm.com,5
PRIMERICA INC,1414,524113,6311,PRI,Insur,primerica.com,5
US ECOLOGY INC,1439,562211,4955,ECOL,Other,usecology.com,5
AMERICAN ELECTRIC POWER CO,1440,2211,4911,AEP,Util,aep.com,2
AMERICAN EXPRESS CO,1447,522210,6141,AXP,Banks,americanexpress.com,5
AFLAC INC,1449,524114,6321,AFL,Insur,aflac.com,5
AMERICAN INTERNATIONAL GROUP,1487,524126,6331,AIG,Insur,aig.com,5
AMERICAN NATIONAL INSURANCE,1526,524113,6311,ANAT,Insur,americannational.com,5
AMERICAN REALTY INVESTORS,1545,531110,6513,ARL,RlEst,americanrealtyinvest.com,5
AMERICAN SCIENCE ENGINEERING,1554,334517,3844,ASEI,MedEq,as-e.com,4
AMERICAN SHARED HSPTL SERV,1559,621999,8090,AMS,Hlth,ashs.com,4
AMERICAN SOFTWARE  -CL A,1562,511210,7372,AMSWA,BusSv,amsoftware.com,3
AMERICAN VANGUARD CORP,1585,325320,2870,AVD,Chems,american-vanguard.com,2
AMETEK INC,1598,334513,3823,AME,LabEq,ametek.com,3
AMGEN INC,1602,325414,2836,AMGN,Drugs,amgen.com,4
AMREP CORP,1618,561990,7389,AXR,BusSv,amrepcorp.com,5
ANALOG DEVICES,1632,334413,3674,ADI,Chips,analog.com,3
ANALOGIC CORP,1633,334510,3845,ALOG,MedEq,analogic.com,4
ANDERSONS INC,1659,424510,5150,ANDE,Whlsl,andersonsinc.com,1
NABORS INDUSTRIES LTD,1661,213111,1381,NBR,Oil,nabors.com,2
APACHE CORP,1678,211111,1311,APA,Oil,apachecorp.com,2
APOGEE ENTERPRISES INC,1686,327215,3231,APOG,Hshld,apog.com,2
APPLE INC,1690,334220,3663,AAPL,Chips,apple.com,3
APPLIED MATERIALS INC,1704,333242,3559,AMAT,Mach,appliedmaterials.com,2
ACTUANT CORP  -CL A,1706,333132,3533,ATU,Mach,actuant.com,2
TRECORA RESOURCES,1712,324110,2911,TREC,Oil,trecora.com,2
ARCHER-DANIELS-MIDLAND CO,1722,31122,2070,ADM,Food,adm.com,1
ARCBEST CORP,1743,484122,4213,ARCB,Trans,arcb.com,5
ARROW ELECTRONICS INC,1773,423690,5065,ARW,Whlsl,arrow.com,1
ARTS WAY MFG INC,1783,333111,3523,ARTW,Mach,artsway-mfg.com,2
ASHLAND GLOBAL HOLDINGS INC,1794,3252,2820,ASH,Chems,ashland.com,2
ASTRONOVA INC,1820,334118,3577,ALOT,Comps,astronovainc.com,3
ASTRONICS CORP,1823,336413,3640,ATRO,ElcEq,astronics.com,1
SOUTHERN CO GAS,1837,221210,4924,SO7,Util,aglresources.com,2
REX AMERICAN RESOURCES CORP,1864,325193,2860,REX,Chems,rexamerican.com,2
AUTODESK INC,1878,519130,7370,ADSK,BusSv,autodesk.com,3
AUTOMATIC DATA PROCESSING,1891,518210,7374,ADP,BusSv,adp.com,3
A V HOMES INC,1906,236117,1531,AVHI,Cnstr,avhomesinc.com,5
AVERY DENNISON CORP,1913,322220,2670,AVY,Paper,averydennison.com,2
AVNET INC,1919,423690,5065,AVT,Whlsl,avnet.com,1
AVON PRODUCTS,1920,325620,2844,AVP,Hshld,avoncompany.com,2
AZZ INC,1926,335122,3640,AZZ,ElcEq,azz.com,1
BADGER METER INC,1968,334514,3824,BMI,LabEq,badgermeter.com,3
BAKER HUGHES INC,1976,213111,1381,BHI,Oil,bhge.com,2
BALCHEM CORP  -CL B,1979,325412,2834,BCPC,Drugs,balchem.com,4
BALDWIN & LYONS  -CL B,1982,524126,6331,BWINB,Insur,baldwinandlyons.com,5
BALL CORP,1988,332431,3411,BLL,Boxes,ball.com,2
POPULAR INC,2002,522110,6020,BPOP,Banks,popular.com,5
BANK OF HAWAII CORP,2005,522110,6020,BOH,Banks,boh.com,5
BANK OF NEW YORK MELLON CORP,2019,522110,6020,BK,Banks,bnymellon.com,5
BARD (C.R.) INC,2044,339112,3841,BCR,MedEq,crbard.com,4
BARNES GROUP INC,2049,332613,3490,B,BldMt,barnesgroupinc.com,2
BARNWELL INDUSTRIES,2052,237210,6552,BRN,RlEst,brninc.com,5
BASSETT FURNITURE INDS,2080,337122,2511,BSET,Hshld,bassettfurniture.com,1
BAXTER INTERNATIONAL INC,2086,325412,2834,BAX,Drugs,baxter.com,4
APPLIED INDUSTRIAL TECH INC,2101,423840,5080,AIT,Whlsl,applied.com,1
BECTON DICKINSON & CO,2111,339112,3841,BDX,MedEq,bd.com,4
BEL FUSE INC,2124,334416,3677,BELFB,Chips,belfuse.com,3
VERIZON COMMUNICATIONS INC,2136,517210,4812,VZ,Telcm,verizon.com,3
BEMIS CO INC,2154,322220,2670,BMS,Paper,bemis.com,2
BERKSHIRE HATHAWAY,2176,999977,9997,BRK.B,Other,berkshirehathaway.com,5
BEST BUY CO INC,2184,443142,5731,BBY,Rtail,bestbuy.com,1
BIO-RAD LABORATORIES INC,2220,334516,3826,BIO,LabEq,bio-rad.com,3
BLACK HILLS CORP,2259,2211,4911,BKH,Util,blackhillscorp.com,2
BLOCK H & R INC,2269,541213,7200,HRB,PerSv,hrblock.com,1
ENSCO PLC,2270,213111,1381,ESV,Oil,enscoplc.com,2
BOB EVANS FARMS,2282,311612,2013,BOBE,Food,bobevans.com,1
BOEING CO,2285,336411,3721,BA,Aero,boeing.com,2
ROBERT HALF INTL INC,2312,561320,7363,RHI,BusSv,roberthalf.com,5
RESOLUTE FOREST PRODUCTS INC,2337,322121,2621,RFP,Paper,resolutefp.com,2
BOWL AMERICA INC  -CL A,2342,713950,7900,BWL.A,Fun,bowl-america.com,5
BRADY CORP,2352,339950,3990,BRC,,bradycorp.com,1
BRIDGFORD FOODS CORP,2390,311612,2013,BRID,Food,bridgford.com,1
BRIGGS & STRATTON,2393,333618,3510,BGG,Mach,basco.com,2
BRISTOL-MYERS SQUIBB CO,2403,325412,2834,BMY,Drugs,bms.com,4
BROWN FORMAN CORP,2435,312140,2085,BF.B,Beer,brown-forman.com,1
CALERES INC,2436,316210,3140,CAL,Clths,caleres.com,1
BRUNSWICK CORP,2444,333618,3510,BC,Mach,brunswick.com,2
MATERION CORP,2448,331410,3330,MTRN,Steel,materion.com,2
